2021.fever-1.7,Verdict Inference with Claim and Retrieved Elements Using {R}o{BERT}a,2021,-1,-1,3,0,8567,inzu gi,Proceedings of the Fourth Workshop on Fact Extraction and VERification (FEVER),0,"Automatic fact verification has attracted recent research attention as the increasing dissemination of disinformation on social media platforms. The FEVEROUS shared task introduces a benchmark for fact verification, in which a system is challenged to verify the given claim using the extracted evidential elements from Wikipedia documents. In this paper, we propose our 3rd place three-stage system consisting of document retrieval, element retrieval, and verdict inference for the FEVEROUS shared task. By considering the context relevance in the fact extraction and verification task, our system achieves 0.29 FEVEROUS score on the development set and 0.25 FEVEROUS score on the blind test set, both outperforming the FEVEROUS baseline."
N18-2054,Cross-language Article Linking Using Cross-Encyclopedia Entity Embedding,2018,0,0,2,1,29356,chunkai wu,"Proceedings of the 2018 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 2 (Short Papers)",0,"Cross-language article linking (CLAL) is the task of finding corresponding article pairs of different languages across encyclopedias. This task is a difficult disambiguation problem in which one article must be selected among several candidate articles with similar titles and contents. Existing works focus on engineering text-based or link-based features for this task, which is a time-consuming job, and some of these features are only applicable within the same encyclopedia. In this paper, we address these problems by proposing cross-encyclopedia entity embedding. Unlike other works, our proposed method does not rely on known cross-language pairs. We apply our method to CLAL between English Wikipedia and Chinese Baidu Baike. Our features improve performance relative to the baseline by 29.62{\%}. Tested 30 times, our system achieved an average improvement of 2.76{\%} over the current best system (26.86{\%} over baseline), a statistically significant result."
W17-5808,Enhancing Drug-Drug Interaction Classification with Corpus-level Feature and Classifier Ensemble,2017,0,0,3,0,31468,jing tu,Proceedings of the International Workshop on Digital Disease Detection using Social Media 2017 ({DDDSM}-2017),0,"The study of drug-drug interaction (DDI) is important in the drug discovering. Both PubMed and DrugBank are rich resources to retrieve DDI information which is usually represented in plain text. Automatically extracting DDI pairs from text improves the quality of drug discov-ering. In this paper, we presented a study that focuses on the DDI classification. We normalized the drug names, and developed both sentence-level and corpus-level features for DDI classification. A classifier ensemble approach is used for the unbalance DDI labels problem. Our approach achieved an F-score of 65.4{\%} on SemEval 2013 DDI test set. The experimental results also show the effects of proposed corpus-level features in the DDI task."
O17-3003,Question Retrieval with Distributed Representations and Participant Reputation in Community Question Answering,2017,0,0,4,0,32676,sam weng,"International Journal of Computational Linguistics {\\&} {C}hinese Language Processing, Volume 22, Number 2, {D}ecember 2017-Special Issue on Selected Papers from {ROCLING} {XXIX}",0,None
O17-1014,Question Retrieval with Distributed Representations and Participant Reputation in Community Question Answering,2017,0,0,4,0,32676,sam weng,Proceedings of the 29th Conference on Computational Linguistics and Speech Processing ({ROCLING} 2017),0,None
I17-3004,"{E}ncyclolink: A Cross-Encyclopedia,Cross-language Article-Linking System and Web-based Search Interface",2017,6,0,5,1,32677,yuchun wang,"Proceedings of the {IJCNLP} 2017, System Demonstrations",0,"Cross-language article linking (CLAL) is the task of finding corresponding article pairs across encyclopedias of different languages. In this paper, we present Encyclolink, a web-based CLAL search interface designed to help users find equivalent encyclopedia articles in Baidu Baike for a given English Wikipedia article title query. Encyclolink is powered by our cross-encyclopedia entity embedding CLAL system (0.8 MRR). The browser-based Interface provides users with a clear and easily readable preview of the contents of retrieved articles for comparison."
I17-3005,A Telecom-Domain Online Customer Service Assistant Based on Question Answering with Word Embedding and Intent Classification,2017,0,2,7,0,32834,juiyang wang,"Proceedings of the {IJCNLP} 2017, System Demonstrations",0,"In the paper, we propose an information retrieval based (IR-based) Question Answering (QA) system to assist online customer service staffs respond users in the telecom domain. When user asks a question, the system retrieves a set of relevant answers and ranks them. Moreover, our system uses a novel reranker to enhance the ranking result of information retrieval.It employs the word2vec model to represent the sentences as vectors. It also uses a sub-category feature, predicted by the k-nearest neighbor algorithm. Finally, the system returns the top five candidate answers, making online staffs find answers much more efficiently."
W15-3913,{NCU} {IISR} {E}nglish-{K}orean and {E}nglish-{C}hinese Named Entity Transliteration Using Different Grapheme Segmentation Approaches,2015,9,2,3,1,32677,yuchun wang,Proceedings of the Fifth Named Entity Workshop,0,"This paper describes our approach to English-Korean and English-Chinese transliteration task of NEWS 2015. We use different grapheme segmentation approaches on source and target languages to train several transliteration models based on the M2M-aligner and DirecTL, a string transduction model. Then, we use two reranking techniques based on string similarity and web co-occurrence to select the best transliteration among the prediction results from the different models. Our English-Korean standard and non-standard runs achieve 0.4482 and 0.5067 in top-1 accuracy respectively, and our English-Chinese standard runs achieves 0.2925 in top-1 accuracy."
P14-2096,Cross-language and Cross-encyclopedia Article Linking Using Mixed-language Topic Model and Hypernym Translation,2014,11,2,3,1,32677,yuchun wang,Proceedings of the 52nd Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),0,"Creating cross-language article links among different online encyclopedias is now an important task in the unification of multilingual knowledge bases. In this paper, we propose a cross-language article linking method using a mixed-language topic model and hypernym translation features based on an SVM model to link English Wikipedia and Chinese Baidu Baike, the most widely used Wiki-like encyclopedia in China. To evaluate our approach, we compile a data set from the top 500 Baidu Baike articles and their corresponding English Wiki articles. The evaluation results show that our approach achieves 80.95% in MRR and 87.46% in recall. Our method does not heavily depend on linguistic characteristics and can be easily extended to generate crosslanguage article links among different online encyclopedias in other languages."
O14-4002,Transliteration Extraction from Classical {C}hinese Buddhist Literature Using Conditional Random Fields with Language Models,2014,10,0,3,1,32677,yuchun wang,"International Journal of Computational Linguistics {\\&} {C}hinese Language Processing, Volume 19, Number 3, September 2014",0,"Extracting plausible transliterations from historical literature is a key issue in historical linguistics and other research fields. In Chinese historical literature, the characters used to transliterate the same loanword may vary because of different translation eras or different Chinese language preferences among translators. To assist historical linguists and digital humanities researchers, this paper proposes a transliteration extraction method based on the conditional random field method with features based on the language models and the characteristics of the Chinese characters used in transliterations. To evaluate our method, we compiled an evaluation set from two Buddhist texts, the Samyuktagama and the Lotus Sutra. We also constructed a baseline approach with a suffix array based extraction method and phonetic similarity measurement. Our method significantly outperforms the baseline approach, and the method achieves recall of 0.9561 and precision of 0.9444. The results show our method is very effective for extracting transliterations in classical Chinese texts."
O14-2002,Joint Learning of Entity Linking Constraints Using a {M}arkov-{L}ogic Network,2014,31,2,2,1,14599,hongjie dai,"International Journal of Computational Linguistics {\\&} {C}hinese Language Processing, Volume 19, Number 1, March 2014",0,"Entity linking (EL) is the task of linking a textual named entity mention to a knowledge base entry. Traditional approaches have addressed the problem by dividing the task into separate stages: entity recognition/classification, entity filtering, and entity mapping, in which different constraints are used to improve the system's performance. Nevertheless, these constraints are executed separately and cannot be used interactively. In this paper, we propose an integrated solution to the task based on a Markov logic network (MLN). We show how the stage decision can be formulated and combined in an MLN. We conducted experiments on the biomedical EL task, gene mention linking (GML), and compared our model's performance with those of two other GML approaches. Our experimental results provide the first comprehensive GML evaluations from three different perspectives: article-wide precision/recall/F-measure (PRF), instance-based PRF, and question answering accuracy. This paper also provides formal definitions of all of the above EL tasks. Experimental results show that our method outperforms the baseline and state-of-the-art systems under all three evaluation schemes."
Y13-1025,Transliteration Extraction from Classical {C}hinese Buddhist Literature Using Conditional Random Fields,2013,28,0,2,1,32677,yuchun wang,"Proceedings of the 27th Pacific Asia Conference on Language, Information, and Computation ({PACLIC} 27)",0,"Extracting plausible transliterations from historical literature is a key issues in historical linguistics and other resaech fields. In Chinese historical literature, the characters used to transliterate the same loanword may vary because of different translation eras or different Chinese language preferences among translators. To assist historical linguiatics and digial humanity researchers, this paper propose a transliteration extraction method based on the conditional random field method with the features based on the characteristics of the Chinese characters used in transliterations which are suitable to identify transliteration characters. To evaluate our method, we compiled an evaluation set from the two Buddhist texts, the Samyuktagama and the Lotus Sutra. We also construct a baseline approach with suffix array based extraction method and phonetic similarity measurement. Our method outperforms the baseline approach a lot and the recall of our method achieves 0.9561 and the precision is 0.9444. The results show our method is very effective to extract transliterations in classical Chinese texts."
W12-4408,{E}nglish-{K}orean Named Entity Transliteration Using Substring Alignment and Re-ranking Methods,2012,5,2,3,1,29356,chunkai wu,Proceedings of the 4th Named Entity Workshop ({NEWS}) 2012,0,"In this paper, we describe our approach to English-to-Korean transliteration task in NEWS 2012. Our system mainly consists of two components: an letter-to-phoneme alignment with m2m-aligner, and transliteration training model DirecTL-p. We construct different parameter settings to train several transliteration models. Then, we use two reranking methods to select the best transliteration among the prediction results from the different models. One re-ranking method is based on the co-occurrence of the transliteration pair in the web corpora. The other one is the JLIS-Reranking method which is based on the features from the alignment results. Our standard and non-standard runs achieves 0.398 and 0.458 in top-1 accuracy in the generation task."
O12-4003,Enhancement of Feature Engineering for Conditional Random Field Learning in {C}hinese Word Segmentation Using Unlabeled Data,2012,34,2,5,0.769231,42165,mike jiang,"International Journal of Computational Linguistics {\\&} {C}hinese Language Processing, Volume 17, Number 3, September 2012",0,"This work proposes a unified view of several features based on frequent strings extracted from unlabeled data that improve the conditional random fields (CRF) model for Chinese word segmentation (CWS). These features include character-based n-gram (CNG), accessor variety based string (AVS) and its variation of left-right co-existed feature (LRAVS), term-contributed frequency (TCF), and term-contributed boundary (TCB) with a specific manner of boundary overlapping. For the experiments, the baseline is the 6-tag, a state-of-the-art labeling scheme of CRF-based CWS, and the data set is acquired from the 2005 CWS Bakeoff of Special Interest Group on Chinese Language Processing (SIGHAN) of the Association for Computational Linguistics (ACL) and SIGHAN CWS Bakeoff 2010. The experimental results show that all of these features improve the performance of the baseline system in terms of recall, precision, and their harmonic average as F1 measure score, on both accuracy (F) and out-of-vocabulary recognition (FOOV). In particular, this work presents compound features involving LRAVS/AVS and TCF/TCB that are competitive with other types of features for CRF-based CWS in terms of F and FOOV, respectively."
C12-1092,Unsupervised {J}apanese-{C}hinese Opinion Word Translation using Dependency Distance and Feature-Opinion Association Weight,2012,17,0,3,0,43771,guohau lai,Proceedings of {COLING} 2012,0,"Online shoppers depend on customer reviews when evaluating products or services. However, in the international online marketplace, reviews in a user's language may not be available. Translation of online customer reviews is therefore an important service. A crucial aspect of this task is translating opinion words, key words that capture the reviewers' sentiments. This is challenging because opinion words often have multiple translations. We propose an unsupervised opinion word translation disambiguation scoring method using dependency distance and feature-opinion association as weighting factors. The scores of an opinion word's translation and its surrounding words' translations are estimated using Google snippets. We focus on Japanese-Chinese translation of hotel review s from Rakutan Travel, using the 10 most common polysemous Japanese opinion words to evaluate system performance. Results show our weighting factors significantly improve translation accuracy compared to Google and Excite."
Y11-1011,Evaluation via Negativa of {C}hinese Word Segmentation for Information Retrieval,2011,36,1,3,0.769231,42165,mike jiang,"Proceedings of the 25th Pacific Asia Conference on Language, Information and Computation",0,"Numerous studies have analyzed the influences of word segmentation (WS) performance on information retrieval (IR) for Mandarin Chinese and have demonstrated a non-monotonic relationship between WS accuracy and IR effectiveness. The usefulness of the compound words that have been a focus of the IR literature is not reflected by common WS evaluation metrics of word-based precision (P) and recall (R). This investigation proposes alternative measurements of WS accuracy, which are based on negative segments that are annotated against four standards of referenced corpora, called true negative rate (TNR) and negative predictive value (NPV), and compares with P and R through search engine simulation,. Accuracy-controlled WS systems segment queries for the simulation including NTCIR collections and Sogou logs. Mean average precision (MAP) estimates the similarity of search results between the original and segmented queries. The statistics demonstrate that TNR and NPV are generally more closely correlated with MAP than are P and R."
